주문번호,수령방법,결제방법,항목,추가선택,드레싱,서비스타입,주문금액,배달팁,결제금액,주문시각,접수시각,배달시각,주소,요청사항
B0QX007L9B,배달,바로결제,"닭가슴살 샐러드, 훈제연어 샐러드",고구마 (50g),"발사믹, 발사믹",배민,13500,3000,16500,2020-08-27 11:23:14,2020-08-27 11:23:26,2020-08-27 12:23:26,전북 전주시 덕진구 금암2동 ****,
B0QX008E6V,배달,바로결제,"이너프 샐러드, 숲속 샐러드",,"오리엔탈, 오리엔탈",배민,10200,3000,13045,2020-08-27 11:32:10,2020-08-27 11:32:23,2020-08-27 12:32:23,전북 전주시 덕진구 금암2동 ****,(수저포크X)
B0QX008DQW,배달,바로결제,"닭가슴살 샐러드, 닭가슴살 샐러드, 목살 샐러드",고구마 (50g),"발사믹, 오리엔탈, 렌치",배민,18900,3500,22400,2020-08-27 11:35:20,2020-08-27 11:35:31,2020-08-27 12:35:31,전북 전주시 완산구 서신동 ****,
B0QX00AB49,배달,바로결제,"훈제연어 샐러드, 닭가슴살 샐러드","삶은 달걀, 고구마 (50g), 삶은 달걀","렌치, 오리엔탈",배민,14500,4500,19000,2020-08-27 11:54:36,2020-08-27 11:54:43,2020-08-27 12:54:43,전북 전주시 덕진구 인후1동 ****,문앞에 놓아주세요
B0QX00AE6E,배달,바로결제,"닭가슴살 샐러드, 닭가슴살 샐러드",,"렌치, 발사믹",배민,11800,3000,14800,2020-08-27 11:56:59,2020-08-27 11:57:10,2020-08-27 12:57:10,전북 전주시 덕진구 덕진동 ****,
B0QX00AUIY,배달,바로결제,"이너프 샐러드, 숲속 샐러드, 닭가슴살 샐러드","고구마 (50g), 고구마 (50g)","발사믹, 오리엔탈, 발사믹",배민,17500,3000,20500,2020-08-27 11:59:08,2020-08-27 12:01:16,2020-08-27 13:01:16,전북 전주시 덕진구 금암2동 ****,
B0QX00CIXR,배달,바로결제,"숲속 샐러드, 훈제연어 샐러드",,"렌치, 렌치",배민,12800,3000,15800,2020-08-27 12:17:49,2020-08-27 12:19:08,2020-08-27 13:19:08,전북 전주시 덕진구 금암1동 ****,
B0QX00CSL3,배달,바로결제,"목살 샐러드, 목살 샐러드",,렌치,배민,12800,3000,15800,2020-08-27 12:22:59,2020-08-27 12:25:12,2020-08-27 13:25:12,전북 전주시 덕진구 덕진동 ****,두개 다 콩 빼주세요
B0QX00D9BA,배달,바로결제,"숲속 샐러드, 닭가슴살 샐러드",,"드레싱, 드레싱",배민,11800,4000,15800,2020-08-27 12:26:38,2020-08-27 12:26:53,2020-08-27 13:26:53,전북 전주시 덕진구 송천1동 ****,콩빼고 할라피뇨 많이주세용
B0QX00DW81,배달,바로결제,"목살 샐러드, 닭가슴살 샐러드",,"발사믹, 오리엔탈",배민,12300,3000,15300,2020-08-27 12:35:51,2020-08-27 12:36:04,2020-08-27 13:36:04,전북 전주시 덕진구 금암1동 ****,할라피뇨 빼주세요.
B0QX00FN1A,배달,바로결제,"훈제연어 샐러드, 닭가슴살 샐러드","고구마 (50g), 고구마 (50g)","렌치, 렌치",배민,14200,3500,17700,2020-08-27 13:00:11,2020-08-27 13:00:43,2020-08-27 14:00:43,전북 전주시 덕진구 송천2동 ****,"닭가슴살샐러드에 강낭콩, 올리브, 할라피뇨 빼주세요 (수저포크X)"
B0QX00FQT1,배달,바로결제,"훈제연어 샐러드, 훈제연어 샐러드","목살 (100g), 고구마 (50g)",오리엔탈,배민,20400,3000,23400,2020-08-27 13:01:31,2020-08-27 13:01:44,2020-08-27 14:01:44,전북 전주시 덕진구 금암2동 ****,
B0QX00MFVW,배달,바로결제,"훈제연어 샐러드, 닭가슴살 샐러드",고구마 (50g),"렌치, 렌치",배민,13500,5000,18500,2020-08-27 15:03:12,2020-08-27 15:03:22,2020-08-27 15:33:22,전북 전주시 덕진구 우아1동 ****,닭가슴살샐러드는 할라피뇨빼주세요
B0QX00MCFF,배달,만나서결제,"훈제연어 샐러드, 닭가슴살 샐러드",,"오리엔탈, 발사믹",배민,12800,3000,15800,2020-08-27 15:03:41,2020-08-27 15:03:46,2020-08-27 16:03:46,전북 전주시 덕진구 금암1동 ****,
B0QX00MOTH,배달,만나서결제,"이너프 샐러드, 이너프 샐러드, 이너프 샐러드, 이너프 샐러드, 목살 샐러드",,"발사믹, 렌치",배민,23600,4500,28100,2020-08-27 15:10:09,2020-08-27 15:10:31,2020-08-27 16:10:31,전북 전주시 완산구 중앙동 ****,
B0QX00N7D1,배달,바로결제,"이너프 샐러드, 목살 샐러드",고구마 (50g),"발사믹, 오리엔탈",배민,11400,5000,16400,2020-08-27 15:24:07,2020-08-27 15:24:14,2020-08-27 16:24:14,전북 전주시 덕진구 우아1동 ****,
B0QX00NIK8,배달,바로결제,"이너프 샐러드, 이너프 샐러드",고구마 (50g),발사믹,배민,10000,3500,13500,2020-08-27 15:28:57,2020-08-27 15:29:05,2020-08-27 16:29:05,전북 전주시 덕진구 인후2동 ****,
B0QX00PAA6,배달,바로결제,"목살 샐러드, 숲속 샐러드",,"발사믹, 오리엔탈",배민,12300,3000,15300,2020-08-27 16:09:25,2020-08-27 16:09:33,2020-08-27 17:09:33,전북 전주시 덕진구 덕진동 ****,
B0QX00PK27,배달,바로결제,"닭가슴살 샐러드, 이너프 샐러드",,"오리엔탈, 렌치",배민,10200,3000,13200,2020-08-27 16:13:56,2020-08-27 16:14:17,2020-08-27 17:14:17,전북 전주시 덕진구 금암2동 ****,
B0QX00PUFF,배달,바로결제,"이너프 샐러드, 이너프 샐러드, 숲속 샐러드, 숲속 샐러드",,"오리엔탈, 렌치, 오리엔탈, 렌치",배민,20400,4000,24400,2020-08-27 16:21:41,2020-08-27 16:21:58,2020-08-27 17:21:58,전북 전주시 덕진구 송천1동 ****,(수저포크X)
B0QX00R32W,배달,바로결제,"숲속 샐러드, 숲속 샐러드",,오리엔탈,배민,11800,3000,14800,2020-08-27 16:42:49,2020-08-27 16:43:01,2020-08-27 17:43:01,전라북도 전주시 덕진구 덕진동 ****,
B0QX00R5FA,배달,바로결제,"숲속 샐러드, 숲속 샐러드, 이너프 샐러드, 닭가슴살 샐러드",,"오리엔탈, 오리엔탈, 오리엔탈, 발사믹",배민,22500,3000,25500,2020-08-27 16:45:57,2020-08-27 16:46:09,2020-08-27 17:46:09,전북 전주시 덕진구 금암1동 ****,
B0QX00RDW8,배달,바로결제,"목살 샐러드, 숲속 샐러드",목살 (100g),"렌치, 발사믹, 발사믹, 렌치",배민,15900,3000,18900,2020-08-27 16:48:44,2020-08-27 16:48:57,2020-08-27 17:48:57,전북 전주시 덕진구 금암2동 ****,
B0QX00S7HX,배달,만나서결제,"숲속 샐러드, 닭가슴살 샐러드",,"발사믹, 발사믹",배민,11800,5000,16800,2020-08-27 16:59:20,2020-08-27 16:59:25,2020-08-27 17:59:25,전북 전주시 완산구 중화산1동 ****,절임류 빼주세요! (수저포크X)
B0QX00SLVD,배달,바로결제,닭가슴살 샐러드,"닭가슴살 (100g), 목살 (100g), 고구마 (50g), 삶은 달걀",렌치,배민,11800,5000,16800,2020-08-27 17:06:10,2020-08-27 17:06:24,2020-08-27 18:06:24,전라북도 전주시 완산구 중화산1동 ****,(수저포크X)
B0QX00TCPW,배달,바로결제,"이너프 샐러드, 숲속 샐러드",,"렌치, 렌치",배민,10200,3500,13700,2020-08-27 17:16:33,2020-08-27 17:16:53,2020-08-27 18:16:53,전북 전주시 덕진구 송천2동 ****,
B0QX00UHJZ,배달,바로결제,"숲속 샐러드, 숲속 샐러드",목살 (100g),"발사믹, 발사믹, 발사믹, 발사믹",배민,15400,3000,18400,2020-08-27 17:28:32,2020-08-27 17:29:23,2020-08-27 18:29:23,전북 전주시 덕진구 덕진동 ****,
B0QX00VAGV,배달,바로결제,"목살 샐러드, 숲속 샐러드","목살 (100g), 고구마 (50g)","발사믹, 발사믹",배민,15600,3500,19100,2020-08-27 17:37:51,2020-08-27 17:38:33,2020-08-27 18:38:33,전북 전주시 덕진구 송천2동 ****,
